t,u[0],u[1],u[2]
1.695,-7.92027,-8.98204,23.9737
1.7,-7.97335,-9.05698,24.0097
1.705,-8.02754,-9.13091,24.0507
1.71,-8.0827,-9.20363,24.0965
1.715,-8.13875,-9.27495,24.1472
1.72,-8.19556,-9.34467,24.2026
1.725,-8.25302,-9.41258,24.2628
1.73,-8.31099,-9.47847,24.3278
1.735,-8.36937,-9.54212,24.3973
1.74,-8.42801,-9.60332,24.4713
1.745,-8.48677,-9.66187,24.5497
1.75,-8.54553,-9.71754,24.6323
1.755,-8.60413,-9.77011,24.7191
1.76,-8.66243,-9.81939,24.8098
1.765,-8.72027,-9.86515,24.9043
1.77,-8.77752,-9.9072,25.0024
1.775,-8.834,-9.94533,25.1039
1.78,-8.88957,-9.97936,25.2084
1.785,-8.94406,-10.0091,25.3159
1.79,-8.99731,-10.0344,25.4259
1.795,-9.04916,-10.055,25.5383
1.8,-9.09945,-10.0709,25.6528
1.805,-9.14802,-10.0818,25.7689
1.81,-9.19471,-10.0877,25.8865
1.815,-9.23936,-10.0885,26.0051
1.82,-9.28182,-10.084,26.1244
1.825,-9.32193,-10.0742,26.2441
1.83,-9.35954,-10.0591,26.3637
1.835,-9.39451,-10.0385,26.4829
1.84,-9.42672,-10.0126,26.6014
1.845,-9.45601,-9.98135,26.7186
1.85,-9.48228,-9.94475,26.8343
1.855,-9.5054,-9.90288,26.948
1.86,-9.52528,-9.85584,27.0593
1.865,-9.5418,-9.80374,27.1679
1.87,-9.5549,-9.74671,27.2734
1.875,-9.56449,-9.68491,27.3754
1.88,-9.57051,-9.61853,27.4736
1.885,-9.57291,-9.54778,27.5675
1.89,-9.57166,-9.47287,27.657
1.895,-9.56672,-9.39407,27.7416
1.9,-9.55808,-9.31162,27.821
1.905,-9.54576,-9.22583,27.8951
1.91,-9.52976,-9.13698,27.9635
1.915,-9.51013,-9.04538,28.026
1.92,-9.48689,-8.95137,28.0824
1.925,-9.46011,-8.85527,28.1326
1.93,-9.42987,-8.75742,28.1764
1.935,-9.39625,-8.65816,28.2136
1.94,-9.35934,-8.55786,28.2442
1.945,-9.31927,-8.45684,28.2681
1.95,-9.27615,-8.35547,28.2852
1.955,-9.23011,-8.25408,28.2956
1.96,-9.18131,-8.15302,28.2993
1.965,-9.1299,-8.05261,28.2962
1.97,-9.07603,-7.95317,28.2865
1.975,-9.01989,-7.85502,28.2703
1.98,-8.96165,-7.75846,28.2476
1.985,-8.90149,-7.66376,28.2186
1.99,-8.8396,-7.57121,28.1835
1.995,-8.77618,-7.48104,28.1423
2,-8.71142,-7.39351,28.0954
2.005,-8.64553,-7.30883,28.0428
2.01,-8.57869,-7.22721,27.9849
2.015,-8.51112,-7.14883,27.9217
2.02,-8.44301,-7.07386,27.8537
2.025,-8.37455,-7.00245,27.7809
2.03,-8.30594,-6.93474,27.7037
2.035,-8.23738,-6.87085,27.6223
2.04,-8.16906,-6.81086,27.537
2.045,-8.10115,-6.75487,27.448
2.05,-8.03383,-6.70295,27.3557
2.055,-7.96729,-6.65515,27.2602
2.06,-7.90168,-6.61151,27.1618
2.065,-7.83717,-6.57206,27.0609
2.07,-7.77392,-6.53681,26.9576
2.075,-7.71206,-6.50577,26.8523
2.08,-7.65175,-6.47894,26.7451
2.085,-7.59311,-6.4563,26.6364
